texto,tipo,n_inicial,n_final,e_inicial,e_final,c_inicial,c_final,q_inicial,q_final,delta_inicial,delta_final,F_clique_inicial,F_clique_final,delta_norm,v_delta
1,lexemas,166,121,1659,1587,10,1,10,10,0.12113910186199343,0.21859504132231405,1,0,0.11088892413668086,0.8044961367746177
10,lexemas,114,77,938,844,7,1,7,7,0.14562956062723179,0.2884483937115516,1,0,0.16716265744068762,0.9806994711045887
11,lexemas,103,90,952,932,6,2,6,6,0.18122977346278318,0.23270911360799001,1,0.2,0.0628739766990866,0.28405564472980194
12,lexemas,108,102,870,868,8,4,8,8,0.1505711318795431,0.1685109687439332,1,0.42857142857142855,0.021119881296341892,0.11914526138212184
2,lexemas,120,100,1206,1185,8,2,8,8,0.1689075630252101,0.23939393939393938,1,0.14285714285714285,0.08481171676318287,0.41730740238202907
3,lexemas,122,104,1023,1012,8,1,8,8,0.13859910581222057,0.18894697535474234,1,0,0.058448824330505376,0.36326258562400116
4,lexemas,108,101,1124,1122,6,3,6,6,0.19453097957770854,0.22217821782178218,1,0.4,0.03432439677143479,0.14212254677425046
5,lexemas,96,75,831,800,6,1,6,6,0.18223684210526317,0.2882882882882883,1,0,0.12968479340160755,0.5819429537841089
6,lexemas,116,87,1467,1359,5,1,5,5,0.2199400299850075,0.36327185244587007,1,0,0.18374461960675637,0.6516859276168734
7,lexemas,119,88,575,564,15,2,15,15,0.08189716564591938,0.14733542319749215,1,0.07142857142857142,0.07127552067477388,0.7990295761210303
8,lexemas,93,72,537,524,9,1,9,9,0.12552594670406733,0.20500782472613457,1,0,0.09089106500358292,0.6331908271478652
9,lexemas,149,123,1389,1368,9,1,9,9,0.12597496825684745,0.18232706917233107,1,0,0.06447424143344634,0.44732776435861943
1,arestas,166,121,1659,1667,10,1,10,10,0.12113910186199343,0.22961432506887053,1,0,0.12342706728299949,0.8954600252068606
10,arestas,114,77,938,869,7,1,7,7,0.14562956062723179,0.29699248120300753,1,0,0.17716310583837389,1.0393694791349377
11,arestas,103,90,952,1009,6,1,6,6,0.18122977346278318,0.2519350811485643,1,0,0.08635549436721882,0.3901417870518992
12,arestas,108,102,870,960,8,1,8,8,0.1505711318795431,0.186371578334304,1,0,0.042146491364223417,0.23776434438575691
2,arestas,120,100,1206,1259,8,1,8,8,0.1689075630252101,0.2543434343434343,1,0,0.10279948116146292,0.5058143625307802
3,arestas,122,104,1023,1134,8,1,8,8,0.13859910581222057,0.21172516803584765,1,0,0.08489202033227296,0.5276084704521911
4,arestas,108,101,1124,1180,6,1,6,6,0.19453097957770854,0.23366336633663368,1,0,0.048583354252915656,0.2011627497269301
5,arestas,96,75,831,870,6,1,6,6,0.18223684210526317,0.31351351351351353,1,0,0.16053140831901894,0.7203629622402186
6,arestas,116,87,1467,1417,5,1,5,5,0.2199400299850075,0.37877572841486234,1,0,0.20361985556931228,0.7221773064261293
7,arestas,119,88,575,600,15,1,15,15,0.08189716564591938,0.15673981191222572,1,0,0.0815188053732139,0.9138612511925858
8,arestas,93,72,537,576,9,1,9,9,0.12552594670406733,0.22535211267605634,1,0,0.1141556637338062,0.7952631993075772
9,arestas,149,123,1389,1503,9,1,9,9,0.12597496825684745,0.20031987205117952,1,0,0.0850603828199964,0.5901561621571673
